Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
4,Sun Sep 3 2023,17:05,CEST / UTC+0200,OGC Nice,2-0,1-0,RC Strasbourg Alsace,2023-09-03T15:05:00Z
4,Sun Sep 3 2023,20:45,CEST / UTC+0200,Olympique Lyonnais,1-4,0-4,Paris Saint-Germain FC,2023-09-03T18:45:00Z
5,Fri Sep 15 2023,21:00,CEST / UTC+0200,Paris Saint-Germain FC,2-3,1-1,OGC Nice,2023-09-15T19:00:00Z
5,Sat Sep 16 2023,17:00,CEST / UTC+0200,Stade Rennais FC 1901,2-2,0-1,Lille OSC,2023-09-16T15:00:00Z
5,Sat Sep 16 2023,21:00,CEST / UTC+0200,Racing Club de Lens,0-1,0-1,FC Metz,2023-09-16T19:00:00Z
5,Sun Sep 17 2023,13:00,CEST / UTC+0200,FC Lorient,2-2,1-1,AS Monaco FC,2023-09-17T11:00:00Z
5,Sun Sep 17 2023,15:00,CEST / UTC+0200,Clermont Foot 63,0-1,0-0,FC Nantes,2023-09-17T13:00:00Z
5,Sun Sep 17 2023,15:00,CEST / UTC+0200,RC Strasbourg Alsace,2-2,0-2,Montpellier HSC,2023-09-17T13:00:00Z
5,Sun Sep 17 2023,15:00,CEST / UTC+0200,Stade de Reims,1-2,1-0,Stade Brestois 29,2023-09-17T13:00:00Z
5,Sun Sep 17 2023,17:05,CEST / UTC+0200,Olympique de Marseille,0-0,0-0,Toulouse FC,2023-09-17T15:05:00Z
5,Sun Sep 17 2023,20:45,CEST / UTC+0200,Olympique Lyonnais,0-0,0-0,Le Havre AC,2023-09-17T18:45:00Z
6,Fri Sep 22 2023,21:00,CEST / UTC+0200,AS Monaco FC,0-1,0-0,OGC Nice,2023-09-22T19:00:00Z
6,Sat Sep 23 2023,17:00,CEST / UTC+0200,FC Nantes,5-3,1-1,FC Lorient,2023-09-23T15:00:00Z
6,Sat Sep 23 2023,21:00,CEST / UTC+0200,Stade Brestois 29,1-0,0-0,Olympique Lyonnais,2023-09-23T19:00:00Z
6,Sun Sep 24 2023,13:00,CEST / UTC+0200,FC Metz,0-1,0-0,RC Strasbourg Alsace,2023-09-24T11:00:00Z
6,Sun Sep 24 2023,15:00,CEST / UTC+0200,Le Havre AC,2-1,2-1,Clermont Foot 63,2023-09-24T13:00:00Z
6,Sun Sep 24 2023,15:00,CEST / UTC+0200,Racing Club de Lens,2-1,1-1,Toulouse FC,2023-09-24T13:00:00Z
6,Sun Sep 24 2023,17:05,CEST / UTC+0200,Montpellier HSC,0-0,0-0,Stade Rennais FC 1901,2023-09-24T15:05:00Z
6,Sun Sep 24 2023,20:45,CEST / UTC+0200,Paris Saint-Germain FC,4-0,2-0,Olympique de Marseille,2023-09-24T18:45:00Z
6,Tue Sep 26 2023,21:00,CEST / UTC+0200,Lille OSC,1-2,0-2,Stade de Reims,2023-09-26T19:00:00Z
7,Fri Sep 29 2023,21:00,CEST / UTC+0200,RC Strasbourg Alsace,0-1,0-1,Racing Club de Lens,2023-09-29T19:00:00Z
7,Sat Sep 30 2023,17:00,CEST / UTC+0200,Clermont Foot 63,0-0,0-0,Paris Saint-Germain FC,2023-09-30T15:00:00Z
7,Sat Sep 30 2023,21:00,CEST / UTC+0200,AS Monaco FC,3-2,2-2,Olympique de Marseille,2023-09-30T19:00:00Z
7,Sun Oct 1 2023,13:00,CEST / UTC+0200,Stade de Reims,2-0,1-0,Olympique Lyonnais,2023-10-01T11:00:00Z
7,Sun Oct 1 2023,15:00,CEST / UTC+0200,Le Havre AC,0-2,0-1,Lille OSC,2023-10-01T13:00:00Z
7,Sun Oct 1 2023,15:00,CEST / UTC+0200,Toulouse FC,3-0,2-0,FC Metz,2023-10-01T13:00:00Z
7,Sun Oct 1 2023,15:00,CEST / UTC+0200,OGC Nice,0-0,0-0,Stade Brestois 29,2023-10-01T13:00:00Z
7,Sun Oct 1 2023,17:05,CEST / UTC+0200,FC Lorient,0-3,0-1,Montpellier HSC,2023-10-01T15:05:00Z
7,Sun Oct 1 2023,20:45,CEST / UTC+0200,Stade Rennais FC 1901,3-1,1-1,FC Nantes,2023-10-01T18:45:00Z
8,Fri Oct 6 2023,21:00,CEST / UTC+0200,RC Strasbourg Alsace,1-2,0-0,FC Nantes,2023-10-06T19:00:00Z
8,Sat Oct 7 2023,17:00,CEST / UTC+0200,FC Metz,0-1,0-1,OGC Nice,2023-10-07T15:00:00Z
8,Sat Oct 7 2023,21:00,CEST / UTC+0200,Stade de Reims,1-3,0-1,AS Monaco FC,2023-10-07T19:00:00Z
8,Sun Oct 8 2023,13:00,CEST / UTC+0200,Olympique de Marseille,3-0,2-0,Le Havre AC,2023-10-08T11:00:00Z
8,Sun Oct 8 2023,15:00,CEST / UTC+0200,Olympique Lyonnais,3-3,3-1,FC Lorient,2023-10-08T13:00:00Z
8,Sun Oct 8 2023,15:00,CEST / UTC+0200,Stade Brestois 29,1-1,0-1,Toulouse FC,2023-10-08T13:00:00Z
8,Sun Oct 8 2023,17:05,CEST / UTC+0200,Racing Club de Lens,1-1,0-1,Lille OSC,2023-10-08T15:05:00Z
8,Sun Oct 8 2023,21:00,CEST / UTC+0200,Stade Rennais FC 1901,1-3,0-2,Paris Saint-Germain FC,2023-10-08T19:00:00Z
9,Fri Oct 20 2023,21:00,CEST / UTC+0200,Le Havre AC,0-0,0-0,Racing Club de Lens,2023-10-20T19:00:00Z
9,Sat Oct 21 2023,17:00,CEST / UTC+0200,Paris Saint-Germain FC,3-0,2-0,RC Strasbourg Alsace,2023-10-21T15:00:00Z
9,Sat Oct 21 2023,21:00,CEST / UTC+0200,OGC Nice,1-0,0-0,Olympique de Marseille,2023-10-21T19:00:00Z
9,Sun Oct 22 2023,13:00,CEST / UTC+0200,FC Lorient,2-1,2-1,Stade Rennais FC 1901,2023-10-22T11:00:00Z
9,Sun Oct 22 2023,15:00,CEST / UTC+0200,FC Nantes,2-0,1-0,Montpellier HSC,2023-10-22T13:00:00Z
9,Sun Oct 22 2023,15:00,CEST / UTC+0200,Toulouse FC,1-1,0-0,Stade de Reims,2023-10-22T13:00:00Z
9,Sun Oct 22 2023,15:00,CEST / UTC+0200,Lille OSC,1-0,1-0,Stade Brestois 29,2023-10-22T13:00:00Z
9,Sun Oct 22 2023,17:05,CEST / UTC+0200,AS Monaco FC,2-1,1-1,FC Metz,2023-10-22T15:05:00Z
