Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
3,Sun Sep 13 2020,15:00,CEST / UTC+0200,Nîmes Olympique,2-4,1-2,Stade Rennais FC 1901,,FINISHED,2020-09-13T13:00:00Z
3,Sun Sep 13 2020,17:00,CEST / UTC+0200,AS Monaco FC,2-1,1-0,FC Nantes,,FINISHED,2020-09-13T15:00:00Z
3,Sun Sep 13 2020,21:00,CEST / UTC+0200,Paris Saint-Germain FC,0-1,0-1,Olympique de Marseille,,FINISHED,2020-09-13T19:00:00Z
1,Tue Sep 15 2020,21:00,CEST / UTC+0200,Montpellier HSC,2-1,1-0,Olympique Lyonnais,,FINISHED,2020-09-15T19:00:00Z
1,Wed Sep 16 2020,21:00,CEST / UTC+0200,Paris Saint-Germain FC,1-0,0-0,FC Metz,,FINISHED,2020-09-16T19:00:00Z
1,Thu Sep 17 2020,21:00,CEST / UTC+0200,Olympique de Marseille,0-2,0-1,AS Saint-Étienne,,FINISHED,2020-09-17T19:00:00Z
4,Fri Sep 18 2020,21:00,CEST / UTC+0200,Olympique Lyonnais,0-0,0-0,Nîmes Olympique,,FINISHED,2020-09-18T19:00:00Z
4,Sat Sep 19 2020,17:00,CEST / UTC+0200,Racing Club de Lens,2-1,0-0,FC Girondins de Bordeaux,,FINISHED,2020-09-19T15:00:00Z
4,Sat Sep 19 2020,21:00,CEST / UTC+0200,Stade Rennais FC 1901,2-1,0-1,AS Monaco FC,,FINISHED,2020-09-19T19:00:00Z
4,Sun Sep 20 2020,13:00,CEST / UTC+0200,OGC Nice,0-3,0-2,Paris Saint-Germain FC,,FINISHED,2020-09-20T11:00:00Z
4,Sun Sep 20 2020,15:00,CEST / UTC+0200,Montpellier HSC,4-1,2-1,Angers SCO,,FINISHED,2020-09-20T13:00:00Z
4,Sun Sep 20 2020,15:00,CEST / UTC+0200,Stade Brestois 29,3-2,2-1,FC Lorient,,FINISHED,2020-09-20T13:00:00Z
4,Sun Sep 20 2020,15:00,CEST / UTC+0200,FC Metz,2-1,1-1,Stade de Reims,,FINISHED,2020-09-20T13:00:00Z
4,Sun Sep 20 2020,15:00,CEST / UTC+0200,RC Strasbourg Alsace,1-0,0-0,Dijon Football Côte d'Or,,FINISHED,2020-09-20T13:00:00Z
4,Sun Sep 20 2020,17:00,CEST / UTC+0200,FC Nantes,2-2,0-1,AS Saint-Étienne,,FINISHED,2020-09-20T15:00:00Z
4,Sun Sep 20 2020,21:00,CEST / UTC+0200,Olympique de Marseille,1-1,0-0,Lille OSC,,FINISHED,2020-09-20T19:00:00Z
5,Fri Sep 25 2020,21:00,CEST / UTC+0200,Lille OSC,2-0,1-0,FC Nantes,,FINISHED,2020-09-25T19:00:00Z
5,Sat Sep 26 2020,17:00,CEST / UTC+0200,AS Saint-Étienne,0-3,0-1,Stade Rennais FC 1901,,FINISHED,2020-09-26T15:00:00Z
5,Sat Sep 26 2020,21:00,CEST / UTC+0200,Olympique de Marseille,1-1,0-0,FC Metz,,FINISHED,2020-09-26T19:00:00Z
5,Sun Sep 27 2020,13:00,CEST / UTC+0200,FC Girondins de Bordeaux,0-0,0-0,OGC Nice,,FINISHED,2020-09-27T11:00:00Z
5,Sun Sep 27 2020,15:00,CEST / UTC+0200,Angers SCO,3-2,1-2,Stade Brestois 29,,FINISHED,2020-09-27T13:00:00Z
5,Sun Sep 27 2020,15:00,CEST / UTC+0200,AS Monaco FC,3-2,2-0,RC Strasbourg Alsace,,FINISHED,2020-09-27T13:00:00Z
5,Sun Sep 27 2020,15:00,CEST / UTC+0200,Dijon Football Côte d'Or,2-2,1-0,Montpellier HSC,,FINISHED,2020-09-27T13:00:00Z
5,Sun Sep 27 2020,15:00,CEST / UTC+0200,Nîmes Olympique,1-1,0-1,Racing Club de Lens,,FINISHED,2020-09-27T13:00:00Z
5,Sun Sep 27 2020,17:00,CEST / UTC+0200,FC Lorient,1-1,0-0,Olympique Lyonnais,,FINISHED,2020-09-27T15:00:00Z
5,Sun Sep 27 2020,21:00,CEST / UTC+0200,Stade de Reims,0-2,0-1,Paris Saint-Germain FC,,FINISHED,2020-09-27T19:00:00Z
6,Fri Oct 2 2020,21:00,CEST / UTC+0200,Paris Saint-Germain FC,6-1,2-0,Angers SCO,,FINISHED,2020-10-02T19:00:00Z
6,Sat Oct 3 2020,17:00,CEST / UTC+0200,Racing Club de Lens,2-0,1-0,AS Saint-Étienne,,FINISHED,2020-10-03T15:00:00Z
6,Sat Oct 3 2020,21:00,CEST / UTC+0200,OGC Nice,2-1,1-1,FC Nantes,,FINISHED,2020-10-03T19:00:00Z
6,Sun Oct 4 2020,13:00,CEST / UTC+0200,Montpellier HSC,0-1,0-0,Nîmes Olympique,,FINISHED,2020-10-04T11:00:00Z
6,Sun Oct 4 2020,15:00,CEST / UTC+0200,FC Girondins de Bordeaux,3-0,2-0,Dijon Football Côte d'Or,,FINISHED,2020-10-04T13:00:00Z
6,Sun Oct 4 2020,15:00,CEST / UTC+0200,Stade Brestois 29,1-0,1-0,AS Monaco FC,,FINISHED,2020-10-04T13:00:00Z
6,Sun Oct 4 2020,15:00,CEST / UTC+0200,FC Metz,3-1,1-1,FC Lorient,,FINISHED,2020-10-04T13:00:00Z
6,Sun Oct 4 2020,15:00,CEST / UTC+0200,RC Strasbourg Alsace,0-3,0-1,Lille OSC,,FINISHED,2020-10-04T13:00:00Z
6,Sun Oct 4 2020,17:00,CEST / UTC+0200,Stade Rennais FC 1901,2-2,2-1,Stade de Reims,,FINISHED,2020-10-04T15:00:00Z
6,Sun Oct 4 2020,21:00,CEST / UTC+0200,Olympique Lyonnais,1-1,1-1,Olympique de Marseille,,FINISHED,2020-10-04T19:00:00Z
7,Fri Oct 16 2020,19:00,CEST / UTC+0200,Dijon Football Côte d'Or,1-1,0-1,Stade Rennais FC 1901,,FINISHED,2020-10-16T17:00:00Z
7,Fri Oct 16 2020,21:00,CEST / UTC+0200,Nîmes Olympique,0-4,0-1,Paris Saint-Germain FC,,FINISHED,2020-10-16T19:00:00Z
7,Sat Oct 17 2020,17:00,CEST / UTC+0200,Stade de Reims,1-3,1-0,FC Lorient,,FINISHED,2020-10-17T15:00:00Z
7,Sat Oct 17 2020,21:00,CEST / UTC+0200,Olympique de Marseille,3-1,1-0,FC Girondins de Bordeaux,,FINISHED,2020-10-17T19:00:00Z
7,Sun Oct 18 2020,13:00,CEST / UTC+0200,RC Strasbourg Alsace,2-3,1-3,Olympique Lyonnais,,FINISHED,2020-10-18T11:00:00Z
7,Sun Oct 18 2020,15:00,CEST / UTC+0200,Angers SCO,1-1,1-1,FC Metz,,FINISHED,2020-10-18T13:00:00Z
7,Sun Oct 18 2020,15:00,CEST / UTC+0200,FC Nantes,3-1,2-0,Stade Brestois 29,,FINISHED,2020-10-18T13:00:00Z
7,Sun Oct 18 2020,15:00,CEST / UTC+0200,AS Monaco FC,1-1,0-0,Montpellier HSC,,FINISHED,2020-10-18T13:00:00Z
7,Sun Oct 18 2020,17:00,CEST / UTC+0200,AS Saint-Étienne,1-3,0-2,OGC Nice,,FINISHED,2020-10-18T15:00:00Z
7,Sun Oct 18 2020,21:00,CEST / UTC+0200,Lille OSC,4-0,1-0,Racing Club de Lens,,FINISHED,2020-10-18T19:00:00Z
8,Fri Oct 23 2020,21:00,CEST / UTC+0200,Stade Rennais FC 1901,1-2,1-1,Angers SCO,,FINISHED,2020-10-23T19:00:00Z
8,Sat Oct 24 2020,17:00,CEST / UTC+0200,FC Lorient,0-1,0-0,Olympique de Marseille,,FINISHED,2020-10-24T15:00:00Z
8,Sat Oct 24 2020,21:00,CEST / UTC+0200,Paris Saint-Germain FC,4-0,2-0,Dijon Football Côte d'Or,,FINISHED,2020-10-24T19:00:00Z
8,Sun Oct 25 2020,15:00,CET / UTC+0100,Montpellier HSC,0-4,0-3,Stade de Reims,,FINISHED,2020-10-25T14:00:00Z
8,Sun Oct 25 2020,15:00,CET / UTC+0100,FC Girondins de Bordeaux,2-0,0-0,Nîmes Olympique,,FINISHED,2020-10-25T14:00:00Z
8,Sun Oct 25 2020,15:00,CET / UTC+0100,Stade Brestois 29,0-3,0-2,RC Strasbourg Alsace,,FINISHED,2020-10-25T14:00:00Z
8,Sun Oct 25 2020,15:00,CET / UTC+0100,FC Metz,2-0,1-0,AS Saint-Étienne,,FINISHED,2020-10-25T14:00:00Z
8,Sun Oct 25 2020,17:00,CET / UTC+0100,OGC Nice,1-1,0-0,Lille OSC,,FINISHED,2020-10-25T16:00:00Z
8,Sun Oct 25 2020,21:00,CET / UTC+0100,Olympique Lyonnais,4-1,4-0,AS Monaco FC,,FINISHED,2020-10-25T20:00:00Z
9,Sat Oct 31 2020,17:00,CET / UTC+0100,Stade Rennais FC 1901,2-1,0-0,Stade Brestois 29,,FINISHED,2020-10-31T16:00:00Z
9,Sat Oct 31 2020,21:00,CET / UTC+0100,FC Nantes,0-3,0-0,Paris Saint-Germain FC,,FINISHED,2020-10-31T20:00:00Z
9,Sun Nov 1 2020,13:00,CET / UTC+0100,AS Saint-Étienne,0-1,0-1,Montpellier HSC,,FINISHED,2020-11-01T12:00:00Z
9,Sun Nov 1 2020,15:00,CET / UTC+0100,Stade de Reims,2-1,2-1,RC Strasbourg Alsace,,FINISHED,2020-11-01T14:00:00Z
9,Sun Nov 1 2020,15:00,CET / UTC+0100,Angers SCO,0-3,0-2,OGC Nice,,FINISHED,2020-11-01T14:00:00Z
9,Sun Nov 1 2020,15:00,CET / UTC+0100,Dijon Football Côte d'Or,0-0,0-0,FC Lorient,,FINISHED,2020-11-01T14:00:00Z
9,Sun Nov 1 2020,15:00,CET / UTC+0100,Nîmes Olympique,0-1,0-1,FC Metz,,FINISHED,2020-11-01T14:00:00Z
9,Sun Nov 1 2020,17:00,CET / UTC+0100,AS Monaco FC,4-0,3-0,FC Girondins de Bordeaux,,FINISHED,2020-11-01T16:00:00Z
9,Sun Nov 1 2020,21:00,CET / UTC+0100,Lille OSC,1-1,1-1,Olympique Lyonnais,,FINISHED,2020-11-01T20:00:00Z
10,Fri Nov 6 2020,21:00,CET / UTC+0100,RC Strasbourg Alsace,0-1,0-0,Olympique de Marseille,,FINISHED,2020-11-06T20:00:00Z
10,Sat Nov 7 2020,17:00,CET / UTC+0100,FC Girondins de Bordeaux,0-2,0-0,Montpellier HSC,,FINISHED,2020-11-07T16:00:00Z
10,Sat Nov 7 2020,21:00,CET / UTC+0100,Paris Saint-Germain FC,3-0,2-0,Stade Rennais FC 1901,,FINISHED,2020-11-07T20:00:00Z
10,Sun Nov 8 2020,13:00,CET / UTC+0100,Stade Brestois 29,3-2,3-1,Lille OSC,,FINISHED,2020-11-08T12:00:00Z
10,Sun Nov 8 2020,15:00,CET / UTC+0100,FC Lorient,0-2,0-0,FC Nantes,,FINISHED,2020-11-08T14:00:00Z
10,Sun Nov 8 2020,15:00,CET / UTC+0100,Racing Club de Lens,4-4,1-0,Stade de Reims,,FINISHED,2020-11-08T14:00:00Z
10,Sun Nov 8 2020,15:00,CET / UTC+0100,Nîmes Olympique,1-5,0-2,Angers SCO,,FINISHED,2020-11-08T14:00:00Z
10,Sun Nov 8 2020,15:00,CET / UTC+0100,FC Metz,1-1,1-1,Dijon Football Côte d'Or,,FINISHED,2020-11-08T14:00:00Z
10,Sun Nov 8 2020,17:00,CET / UTC+0100,OGC Nice,1-2,0-1,AS Monaco FC,,FINISHED,2020-11-08T16:00:00Z
10,Sun Nov 8 2020,21:00,CET / UTC+0100,Olympique Lyonnais,2-1,0-1,AS Saint-Étienne,,FINISHED,2020-11-08T20:00:00Z
11,Fri Nov 20 2020,19:00,CET / UTC+0100,Stade Rennais FC 1901,0-1,0-1,FC Girondins de Bordeaux,,FINISHED,2020-11-20T18:00:00Z
11,Fri Nov 20 2020,21:00,CET / UTC+0100,AS Monaco FC,3-2,0-2,Paris Saint-Germain FC,,FINISHED,2020-11-20T20:00:00Z
11,Sat Nov 21 2020,17:00,CET / UTC+0100,Stade Brestois 29,4-1,4-1,AS Saint-Étienne,,FINISHED,2020-11-21T16:00:00Z
11,Sun Nov 22 2020,13:00,CET / UTC+0100,FC Nantes,1-1,1-1,FC Metz,,FINISHED,2020-11-22T12:00:00Z
11,Sun Nov 22 2020,15:00,CET / UTC+0100,Dijon Football Côte d'Or,0-1,0-1,Racing Club de Lens,,FINISHED,2020-11-22T14:00:00Z
11,Sun Nov 22 2020,15:00,CET / UTC+0100,Montpellier HSC,4-3,3-3,RC Strasbourg Alsace,,FINISHED,2020-11-22T14:00:00Z
11,Sun Nov 22 2020,15:00,CET / UTC+0100,Stade de Reims,0-1,0-0,Nîmes Olympique,,FINISHED,2020-11-22T14:00:00Z
11,Sun Nov 22 2020,17:00,CET / UTC+0100,Angers SCO,0-1,0-0,Olympique Lyonnais,,FINISHED,2020-11-22T16:00:00Z
11,Sun Nov 22 2020,21:00,CET / UTC+0100,Lille OSC,4-0,1-0,FC Lorient,,FINISHED,2020-11-22T20:00:00Z
8,Wed Nov 25 2020,19:00,CET / UTC+0100,Racing Club de Lens,1-1,1-0,FC Nantes,,FINISHED,2020-11-25T18:00:00Z
12,Fri Nov 27 2020,21:00,CET / UTC+0100,RC Strasbourg Alsace,1-1,1-0,Stade Rennais FC 1901,,FINISHED,2020-11-27T20:00:00Z
12,Sat Nov 28 2020,17:00,CET / UTC+0100,Olympique de Marseille,3-1,2-0,FC Nantes,,FINISHED,2020-11-28T16:00:00Z
12,Sat Nov 28 2020,21:00,CET / UTC+0100,Paris Saint-Germain FC,2-2,2-1,FC Girondins de Bordeaux,,FINISHED,2020-11-28T20:00:00Z
12,Sun Nov 29 2020,13:00,CET / UTC+0100,Olympique Lyonnais,3-0,1-0,Stade de Reims,,FINISHED,2020-11-29T12:00:00Z
12,Sun Nov 29 2020,15:00,CET / UTC+0100,FC Lorient,0-1,0-0,Montpellier HSC,,FINISHED,2020-11-29T14:00:00Z
12,Sun Nov 29 2020,15:00,CET / UTC+0100,AS Monaco FC,3-0,1-0,Nîmes Olympique,,FINISHED,2020-11-29T14:00:00Z
12,Sun Nov 29 2020,15:00,CET / UTC+0100,Racing Club de Lens,1-3,1-1,Angers SCO,,FINISHED,2020-11-29T14:00:00Z
12,Sun Nov 29 2020,15:00,CET / UTC+0100,FC Metz,0-2,0-1,Stade Brestois 29,,FINISHED,2020-11-29T14:00:00Z
12,Sun Nov 29 2020,17:00,CET / UTC+0100,OGC Nice,1-3,0-2,Dijon Football Côte d'Or,,FINISHED,2020-11-29T16:00:00Z
12,Sun Nov 29 2020,21:00,CET / UTC+0100,AS Saint-Étienne,1-1,1-0,Lille OSC,,FINISHED,2020-11-29T20:00:00Z
13,Fri Dec 4 2020,21:00,CET / UTC+0100,Nîmes Olympique,0-2,0-0,Olympique de Marseille,,FINISHED,2020-12-04T20:00:00Z
13,Sat Dec 5 2020,17:00,CET / UTC+0100,Stade Rennais FC 1901,0-2,0-1,Racing Club de Lens,,FINISHED,2020-12-05T16:00:00Z
13,Sat Dec 5 2020,21:00,CET / UTC+0100,Montpellier HSC,1-3,1-1,Paris Saint-Germain FC,,FINISHED,2020-12-05T20:00:00Z
13,Sun Dec 6 2020,13:00,CET / UTC+0100,Lille OSC,2-1,0-0,AS Monaco FC,,FINISHED,2020-12-06T12:00:00Z
13,Sun Dec 6 2020,15:00,CET / UTC+0100,FC Girondins de Bordeaux,1-0,0-0,Stade Brestois 29,,FINISHED,2020-12-06T14:00:00Z
13,Sun Dec 6 2020,15:00,CET / UTC+0100,Angers SCO,2-0,1-0,FC Lorient,,FINISHED,2020-12-06T14:00:00Z
13,Sun Dec 6 2020,15:00,CET / UTC+0100,FC Nantes,0-4,0-2,RC Strasbourg Alsace,,FINISHED,2020-12-06T14:00:00Z
13,Sun Dec 6 2020,15:00,CET / UTC+0100,Dijon Football Côte d'Or,0-0,0-0,AS Saint-Étienne,,FINISHED,2020-12-06T14:00:00Z
13,Sun Dec 6 2020,17:00,CET / UTC+0100,Stade de Reims,0-0,0-0,OGC Nice,,FINISHED,2020-12-06T16:00:00Z
13,Sun Dec 6 2020,21:00,CET / UTC+0100,FC Metz,1-3,0-1,Olympique Lyonnais,,FINISHED,2020-12-06T20:00:00Z
14,Fri Dec 11 2020,21:00,CET / UTC+0100,AS Saint-Étienne,0-0,0-0,Angers SCO,,FINISHED,2020-12-11T20:00:00Z
14,Sat Dec 12 2020,17:00,CET / UTC+0100,Olympique de Marseille,2-1,2-0,AS Monaco FC,,FINISHED,2020-12-12T16:00:00Z
14,Sat Dec 12 2020,21:00,CET / UTC+0100,Racing Club de Lens,2-3,1-2,Montpellier HSC,,FINISHED,2020-12-12T20:00:00Z
14,Sun Dec 13 2020,13:00,CET / UTC+0100,OGC Nice,0-1,0-1,Stade Rennais FC 1901,,FINISHED,2020-12-13T12:00:00Z
14,Sun Dec 13 2020,15:00,CET / UTC+0100,Stade Brestois 29,2-1,1-0,Stade de Reims,,FINISHED,2020-12-13T14:00:00Z
14,Sun Dec 13 2020,15:00,CET / UTC+0100,FC Lorient,3-0,2-0,Nîmes Olympique,,FINISHED,2020-12-13T14:00:00Z
14,Sun Dec 13 2020,15:00,CET / UTC+0100,FC Nantes,1-1,1-0,Dijon Football Côte d'Or,,FINISHED,2020-12-13T14:00:00Z
14,Sun Dec 13 2020,15:00,CET / UTC+0100,RC Strasbourg Alsace,2-2,0-1,FC Metz,,FINISHED,2020-12-13T14:00:00Z
14,Sun Dec 13 2020,17:00,CET / UTC+0100,Lille OSC,2-1,2-1,FC Girondins de Bordeaux,,FINISHED,2020-12-13T16:00:00Z
14,Sun Dec 13 2020,21:00,CET / UTC+0100,Paris Saint-Germain FC,0-1,0-1,Olympique Lyonnais,,FINISHED,2020-12-13T20:00:00Z
15,Wed Dec 16 2020,19:00,CET / UTC+0100,Montpellier HSC,0-2,0-0,FC Metz,,FINISHED,2020-12-16T18:00:00Z
15,Wed Dec 16 2020,19:00,CET / UTC+0100,Stade de Reims,3-2,0-1,FC Nantes,,FINISHED,2020-12-16T18:00:00Z
15,Wed Dec 16 2020,19:00,CET / UTC+0100,Angers SCO,0-2,0-0,RC Strasbourg Alsace,,FINISHED,2020-12-16T18:00:00Z
15,Wed Dec 16 2020,19:00,CET / UTC+0100,Dijon Football Côte d'Or,0-2,0-1,Lille OSC,,FINISHED,2020-12-16T18:00:00Z
15,Wed Dec 16 2020,19:00,CET / UTC+0100,Nîmes Olympique,0-2,0-0,OGC Nice,,FINISHED,2020-12-16T18:00:00Z
15,Wed Dec 16 2020,21:00,CET / UTC+0100,Paris Saint-Germain FC,2-0,0-0,FC Lorient,,FINISHED,2020-12-16T20:00:00Z
15,Wed Dec 16 2020,21:00,CET / UTC+0100,Olympique Lyonnais,2-2,0-1,Stade Brestois 29,,FINISHED,2020-12-16T20:00:00Z
15,Wed Dec 16 2020,21:00,CET / UTC+0100,FC Girondins de Bordeaux,1-2,1-1,AS Saint-Étienne,,FINISHED,2020-12-16T20:00:00Z
15,Wed Dec 16 2020,21:00,CET / UTC+0100,Stade Rennais FC 1901,2-1,0-1,Olympique de Marseille,,FINISHED,2020-12-16T20:00:00Z
15,Wed Dec 16 2020,21:00,CET / UTC+0100,AS Monaco FC,0-3,0-3,Racing Club de Lens,,FINISHED,2020-12-16T20:00:00Z
16,Sat Dec 19 2020,17:00,CET / UTC+0100,FC Metz,2-0,1-0,Racing Club de Lens,,FINISHED,2020-12-19T16:00:00Z
16,Sat Dec 19 2020,19:00,CET / UTC+0100,Olympique de Marseille,1-1,1-1,Stade de Reims,,FINISHED,2020-12-19T18:00:00Z
16,Sat Dec 19 2020,21:00,CET / UTC+0100,OGC Nice,1-4,1-2,Olympique Lyonnais,,FINISHED,2020-12-19T20:00:00Z
16,Sun Dec 20 2020,13:00,CET / UTC+0100,Stade Brestois 29,2-2,0-1,Montpellier HSC,,FINISHED,2020-12-20T12:00:00Z
16,Sun Dec 20 2020,15:00,CET / UTC+0100,AS Saint-Étienne,2-2,1-1,Nîmes Olympique,,FINISHED,2020-12-20T14:00:00Z
16,Sun Dec 20 2020,15:00,CET / UTC+0100,FC Nantes,1-1,0-1,Angers SCO,,FINISHED,2020-12-20T14:00:00Z
16,Sun Dec 20 2020,15:00,CET / UTC+0100,Dijon Football Côte d'Or,0-1,0-1,AS Monaco FC,,FINISHED,2020-12-20T14:00:00Z
16,Sun Dec 20 2020,15:00,CET / UTC+0100,RC Strasbourg Alsace,0-2,0-1,FC Girondins de Bordeaux,,FINISHED,2020-12-20T14:00:00Z
16,Sun Dec 20 2020,17:00,CET / UTC+0100,FC Lorient,0-3,0-1,Stade Rennais FC 1901,,FINISHED,2020-12-20T16:00:00Z
16,Sun Dec 20 2020,21:00,CET / UTC+0100,Lille OSC,0-0,0-0,Paris Saint-Germain FC,,FINISHED,2020-12-20T20:00:00Z
17,Wed Dec 23 2020,19:00,CET / UTC+0100,FC Girondins de Bordeaux,1-3,0-2,Stade de Reims,,FINISHED,2020-12-23T18:00:00Z
17,Wed Dec 23 2020,19:00,CET / UTC+0100,Stade Rennais FC 1901,1-0,0-0,FC Metz,,FINISHED,2020-12-23T18:00:00Z
17,Wed Dec 23 2020,19:00,CET / UTC+0100,OGC Nice,2-2,2-0,FC Lorient,,FINISHED,2020-12-23T18:00:00Z
17,Wed Dec 23 2020,19:00,CET / UTC+0100,Racing Club de Lens,2-1,2-0,Stade Brestois 29,,FINISHED,2020-12-23T18:00:00Z
17,Wed Dec 23 2020,19:00,CET / UTC+0100,Nîmes Olympique,1-3,1-0,Dijon Football Côte d'Or,,FINISHED,2020-12-23T18:00:00Z
17,Wed Dec 23 2020,21:00,CET / UTC+0100,Montpellier HSC,2-3,0-1,Lille OSC,,FINISHED,2020-12-23T20:00:00Z
17,Wed Dec 23 2020,21:00,CET / UTC+0100,Paris Saint-Germain FC,4-0,1-0,RC Strasbourg Alsace,,FINISHED,2020-12-23T20:00:00Z
17,Wed Dec 23 2020,21:00,CET / UTC+0100,Olympique Lyonnais,3-0,3-0,FC Nantes,,FINISHED,2020-12-23T20:00:00Z
17,Wed Dec 23 2020,21:00,CET / UTC+0100,Angers SCO,2-1,2-0,Olympique de Marseille,,FINISHED,2020-12-23T20:00:00Z
17,Wed Dec 23 2020,21:00,CET / UTC+0100,AS Monaco FC,2-2,1-2,AS Saint-Étienne,,FINISHED,2020-12-23T20:00:00Z
18,Wed Jan 6 2021,19:00,CET / UTC+0100,Stade Brestois 29,2-0,2-0,OGC Nice,,FINISHED,2021-01-06T18:00:00Z
18,Wed Jan 6 2021,19:00,CET / UTC+0100,FC Lorient,2-5,1-1,AS Monaco FC,,FINISHED,2021-01-06T18:00:00Z
18,Wed Jan 6 2021,19:00,CET / UTC+0100,FC Nantes,0-0,0-0,Stade Rennais FC 1901,,FINISHED,2021-01-06T18:00:00Z
18,Wed Jan 6 2021,19:00,CET / UTC+0100,FC Metz,0-0,0-0,FC Girondins de Bordeaux,,FINISHED,2021-01-06T18:00:00Z
18,Wed Jan 6 2021,19:00,CET / UTC+0100,RC Strasbourg Alsace,5-0,3-0,Nîmes Olympique,,FINISHED,2021-01-06T18:00:00Z
18,Wed Jan 6 2021,21:00,CET / UTC+0100,Lille OSC,1-2,1-2,Angers SCO,,FINISHED,2021-01-06T20:00:00Z
18,Wed Jan 6 2021,21:00,CET / UTC+0100,Olympique Lyonnais,3-2,1-0,Racing Club de Lens,,FINISHED,2021-01-06T20:00:00Z
18,Wed Jan 6 2021,21:00,CET / UTC+0100,AS Saint-Étienne,1-1,1-1,Paris Saint-Germain FC,,FINISHED,2021-01-06T20:00:00Z
18,Wed Jan 6 2021,21:00,CET / UTC+0100,Olympique de Marseille,3-1,1-0,Montpellier HSC,,FINISHED,2021-01-06T20:00:00Z
18,Wed Jan 6 2021,21:00,CET / UTC+0100,Stade de Reims,0-0,0-0,Dijon Football Côte d'Or,,FINISHED,2021-01-06T20:00:00Z
