Matchday,Date,Team 1,FT,HT,Team 2,Comments
19,Mon Jan 25 2021,ACF Fiorentina,,,FC Crotone,
19,Mon Jan 25 2021,SS Lazio,,,US Sassuolo Calcio,
19,Mon Jan 25 2021,AS Roma,,,Spezia Calcio,
19,Mon Jan 25 2021,AC Milan,,,Atalanta BC,
19,Mon Jan 25 2021,Parma Calcio 1913,,,UC Sampdoria,
19,Mon Jan 25 2021,Udinese Calcio,,,FC Internazionale Milano,
19,Mon Jan 25 2021,Genoa CFC,,,Cagliari Calcio,
19,Mon Jan 25 2021,Hellas Verona FC,,,SSC Napoli,
19,Mon Jan 25 2021,Benevento Calcio,,,Torino FC,
20,Mon Feb 1 2021,SSC Napoli,,,Parma Calcio 1913,
20,Mon Feb 1 2021,FC Internazionale Milano,,,Benevento Calcio,
20,Mon Feb 1 2021,AS Roma,,,Hellas Verona FC,
20,Mon Feb 1 2021,Atalanta BC,,,SS Lazio,
20,Mon Feb 1 2021,UC Sampdoria,,,Juventus FC,
20,Mon Feb 1 2021,Cagliari Calcio,,,US Sassuolo Calcio,
20,Mon Feb 1 2021,Torino FC,,,ACF Fiorentina,
20,Mon Feb 1 2021,Bologna FC 1909,,,AC Milan,
20,Mon Feb 1 2021,Spezia Calcio,,,Udinese Calcio,
20,Mon Feb 1 2021,FC Crotone,,,Genoa CFC,
21,Mon Feb 8 2021,ACF Fiorentina,,,FC Internazionale Milano,
21,Mon Feb 8 2021,SS Lazio,,,Cagliari Calcio,
21,Mon Feb 8 2021,AC Milan,,,FC Crotone,
21,Mon Feb 8 2021,Parma Calcio 1913,,,Bologna FC 1909,
21,Mon Feb 8 2021,Udinese Calcio,,,Hellas Verona FC,
21,Mon Feb 8 2021,Atalanta BC,,,Torino FC,
21,Mon Feb 8 2021,Genoa CFC,,,SSC Napoli,
21,Mon Feb 8 2021,US Sassuolo Calcio,,,Spezia Calcio,
21,Mon Feb 8 2021,Benevento Calcio,,,UC Sampdoria,
21,Sun Feb 7 2021,Juventus FC,,,AS Roma,
22,Mon Feb 15 2021,FC Internazionale Milano,,,SS Lazio,
22,Mon Feb 15 2021,AS Roma,,,Udinese Calcio,
22,Mon Feb 15 2021,UC Sampdoria,,,ACF Fiorentina,
22,Mon Feb 15 2021,Cagliari Calcio,,,Atalanta BC,
22,Mon Feb 15 2021,Torino FC,,,Genoa CFC,
22,Mon Feb 15 2021,Bologna FC 1909,,,Benevento Calcio,
22,Mon Feb 15 2021,Spezia Calcio,,,AC Milan,
22,Mon Feb 15 2021,Hellas Verona FC,,,Parma Calcio 1913,
22,Mon Feb 15 2021,FC Crotone,,,US Sassuolo Calcio,
22,Sun Feb 14 2021,SSC Napoli,,,Juventus FC,
23,Sat Feb 20 2021,AC Milan,,,FC Internazionale Milano,
23,Mon Feb 22 2021,Juventus FC,,,FC Crotone,
23,Mon Feb 22 2021,ACF Fiorentina,,,Spezia Calcio,
23,Mon Feb 22 2021,SS Lazio,,,UC Sampdoria,
23,Mon Feb 22 2021,Parma Calcio 1913,,,Udinese Calcio,
23,Mon Feb 22 2021,Atalanta BC,,,SSC Napoli,
23,Mon Feb 22 2021,Cagliari Calcio,,,Torino FC,
23,Mon Feb 22 2021,Genoa CFC,,,Hellas Verona FC,
23,Mon Feb 22 2021,US Sassuolo Calcio,,,Bologna FC 1909,
23,Mon Feb 22 2021,Benevento Calcio,,,AS Roma,
24,Mon Mar 1 2021,SSC Napoli,,,Benevento Calcio,
24,Mon Mar 1 2021,FC Internazionale Milano,,,Genoa CFC,
24,Mon Mar 1 2021,AS Roma,,,AC Milan,
24,Mon Mar 1 2021,Udinese Calcio,,,ACF Fiorentina,
24,Mon Mar 1 2021,UC Sampdoria,,,Atalanta BC,
24,Mon Mar 1 2021,Torino FC,,,US Sassuolo Calcio,
24,Mon Mar 1 2021,Bologna FC 1909,,,SS Lazio,
24,Mon Mar 1 2021,Spezia Calcio,,,Parma Calcio 1913,
24,Mon Mar 1 2021,Hellas Verona FC,,,Juventus FC,
24,Mon Mar 1 2021,FC Crotone,,,Cagliari Calcio,
25,Thu Mar 4 2021,Juventus FC,,,Spezia Calcio,
25,Thu Mar 4 2021,ACF Fiorentina,,,AS Roma,
25,Thu Mar 4 2021,SS Lazio,,,Torino FC,
25,Thu Mar 4 2021,AC Milan,,,Udinese Calcio,
25,Thu Mar 4 2021,Parma Calcio 1913,,,FC Internazionale Milano,
25,Thu Mar 4 2021,Atalanta BC,,,FC Crotone,
25,Thu Mar 4 2021,Cagliari Calcio,,,Bologna FC 1909,
25,Thu Mar 4 2021,Genoa CFC,,,UC Sampdoria,
25,Thu Mar 4 2021,US Sassuolo Calcio,,,SSC Napoli,
25,Thu Mar 4 2021,Benevento Calcio,,,Hellas Verona FC,
26,Sat Mar 6 2021,Juventus FC,,,SS Lazio,
26,Mon Mar 8 2021,SSC Napoli,,,Bologna FC 1909,
26,Mon Mar 8 2021,FC Internazionale Milano,,,Atalanta BC,
26,Mon Mar 8 2021,ACF Fiorentina,,,Parma Calcio 1913,
