Stage,Group,Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Group,B,2,Tue Sep 28 2021,21:00,CEST/+0200,FC Porto,1-5,0-2,Liverpool FC,,,2021-09-28T19:00:00Z
Group,B,2,Tue Sep 28 2021,21:00,CEST/+0200,AC Milan,1-2,1-0,Club Atlético de Madrid,,,2021-09-28T19:00:00Z
Group,C,2,Tue Sep 28 2021,21:00,CEST/+0200,Borussia Dortmund,1-0,1-0,Sporting Clube de Portugal,,,2021-09-28T19:00:00Z
Group,D,2,Tue Sep 28 2021,21:00,CEST/+0200,Real Madrid CF,1-2,0-1,FC Sheriff Tiraspol,,,2021-09-28T19:00:00Z
Group,F,2,Wed Sep 29 2021,18:45,CEST/+0200,Atalanta BC,1-0,0-0,BSC Young Boys,,,2021-09-29T16:45:00Z
Group,H,2,Wed Sep 29 2021,18:45,CEST/+0200,FK Zenit Sankt-Petersburg,4-0,1-0,Malmö FF,,,2021-09-29T16:45:00Z
Group,E,2,Wed Sep 29 2021,21:00,CEST/+0200,Sport Lisboa e Benfica,3-0,1-0,FC Barcelona,,,2021-09-29T19:00:00Z
Group,E,2,Wed Sep 29 2021,21:00,CEST/+0200,FC Bayern München,5-0,2-0,FK Dynamo Kyiv,,,2021-09-29T19:00:00Z
Group,F,2,Wed Sep 29 2021,21:00,CEST/+0200,Manchester United FC,2-1,0-0,Villarreal CF,,,2021-09-29T19:00:00Z
Group,G,2,Wed Sep 29 2021,21:00,CEST/+0200,VfL Wolfsburg,1-1,0-0,Sevilla FC,,,2021-09-29T19:00:00Z
Group,G,2,Wed Sep 29 2021,21:00,CEST/+0200,FC Red Bull Salzburg,2-1,1-0,Lille OSC,,,2021-09-29T19:00:00Z
Group,H,2,Wed Sep 29 2021,21:00,CEST/+0200,Juventus FC,1-0,0-0,Chelsea FC,,,2021-09-29T19:00:00Z
Group,A,3,Tue Oct 19 2021,18:45,CEST/+0200,Club Brugge KV,1-5,0-2,Manchester City FC,,,2021-10-19T16:45:00Z
Group,C,3,Tue Oct 19 2021,18:45,CEST/+0200,Beşiktaş JK,1-4,1-3,Sporting Clube de Portugal,,,2021-10-19T16:45:00Z
Group,A,3,Tue Oct 19 2021,21:00,CEST/+0200,Paris Saint-Germain FC,3-2,1-1,RB Leipzig,,,2021-10-19T19:00:00Z
Group,B,3,Tue Oct 19 2021,21:00,CEST/+0200,FC Porto,1-0,0-0,AC Milan,,,2021-10-19T19:00:00Z
Group,B,3,Tue Oct 19 2021,21:00,CEST/+0200,Club Atlético de Madrid,2-3,2-2,Liverpool FC,,,2021-10-19T19:00:00Z
Group,C,3,Tue Oct 19 2021,21:00,CEST/+0200,AFC Ajax,4-0,2-0,Borussia Dortmund,,,2021-10-19T19:00:00Z
Group,D,3,Tue Oct 19 2021,21:00,CEST/+0200,FC Internazionale Milano,3-1,1-0,FC Sheriff Tiraspol,,,2021-10-19T19:00:00Z
Group,D,3,Tue Oct 19 2021,21:00,CEST/+0200,FK Shakhtar Donetsk,0-5,0-1,Real Madrid CF,,,2021-10-19T19:00:00Z
Group,E,3,Wed Oct 20 2021,18:45,CEST/+0200,FC Barcelona,1-0,1-0,FK Dynamo Kyiv,,,2021-10-20T16:45:00Z
Group,G,3,Wed Oct 20 2021,18:45,CEST/+0200,FC Red Bull Salzburg,3-1,1-1,VfL Wolfsburg,,,2021-10-20T16:45:00Z
Group,E,3,Wed Oct 20 2021,21:00,CEST/+0200,Sport Lisboa e Benfica,0-4,0-0,FC Bayern München,,,2021-10-20T19:00:00Z
Group,F,3,Wed Oct 20 2021,21:00,CEST/+0200,Manchester United FC,3-2,0-2,Atalanta BC,,,2021-10-20T19:00:00Z
Group,F,3,Wed Oct 20 2021,21:00,CEST/+0200,BSC Young Boys,1-4,0-2,Villarreal CF,,,2021-10-20T19:00:00Z
Group,G,3,Wed Oct 20 2021,21:00,CEST/+0200,Lille OSC,0-0,0-0,Sevilla FC,,,2021-10-20T19:00:00Z
Group,H,3,Wed Oct 20 2021,21:00,CEST/+0200,FK Zenit Sankt-Petersburg,0-1,0-0,Juventus FC,,,2021-10-20T19:00:00Z
Group,H,3,Wed Oct 20 2021,21:00,CEST/+0200,Chelsea FC,4-0,2-0,Malmö FF,,,2021-10-20T19:00:00Z
Group,G,4,Tue Nov 2 2021,18:45,CET/+0100,VfL Wolfsburg,2-1,1-1,FC Red Bull Salzburg,,,2021-11-02T17:45:00Z
Group,H,4,Tue Nov 2 2021,18:45,CET/+0100,Malmö FF,0-1,0-0,Chelsea FC,,,2021-11-02T17:45:00Z
Group,E,4,Tue Nov 2 2021,21:00,CET/+0100,FC Bayern München,5-2,2-1,Sport Lisboa e Benfica,,,2021-11-02T20:00:00Z
Group,E,4,Tue Nov 2 2021,21:00,CET/+0100,FK Dynamo Kyiv,0-1,0-0,FC Barcelona,,,2021-11-02T20:00:00Z
Group,F,4,Tue Nov 2 2021,21:00,CET/+0100,Atalanta BC,2-2,1-1,Manchester United FC,,,2021-11-02T20:00:00Z
Group,F,4,Tue Nov 2 2021,21:00,CET/+0100,Villarreal CF,2-0,1-0,BSC Young Boys,,,2021-11-02T20:00:00Z
Group,G,4,Tue Nov 2 2021,21:00,CET/+0100,Sevilla FC,1-2,1-1,Lille OSC,,,2021-11-02T20:00:00Z
Group,H,4,Tue Nov 2 2021,21:00,CET/+0100,Juventus FC,4-2,1-1,FK Zenit Sankt-Petersburg,,,2021-11-02T20:00:00Z
Group,B,4,Wed Nov 3 2021,18:45,CET/+0100,AC Milan,1-1,0-1,FC Porto,,,2021-11-03T17:45:00Z
Group,D,4,Wed Nov 3 2021,18:45,CET/+0100,Real Madrid CF,2-1,1-1,FK Shakhtar Donetsk,,,2021-11-03T17:45:00Z
Group,A,4,Wed Nov 3 2021,21:00,CET/+0100,RB Leipzig,2-2,1-2,Paris Saint-Germain FC,,,2021-11-03T20:00:00Z
Group,A,4,Wed Nov 3 2021,21:00,CET/+0100,Manchester City FC,4-1,1-1,Club Brugge KV,,,2021-11-03T20:00:00Z
Group,B,4,Wed Nov 3 2021,21:00,CET/+0100,Liverpool FC,2-0,2-0,Club Atlético de Madrid,,,2021-11-03T20:00:00Z
Group,C,4,Wed Nov 3 2021,21:00,CET/+0100,Borussia Dortmund,1-3,1-0,AFC Ajax,,,2021-11-03T20:00:00Z
Group,C,4,Wed Nov 3 2021,21:00,CET/+0100,Sporting Clube de Portugal,4-0,3-0,Beşiktaş JK,,,2021-11-03T20:00:00Z
Group,D,4,Wed Nov 3 2021,21:00,CET/+0100,FC Sheriff Tiraspol,1-3,0-0,FC Internazionale Milano,,,2021-11-03T20:00:00Z
Group,E,5,Tue Nov 23 2021,18:45,CET/+0100,FK Dynamo Kyiv,1-2,0-2,FC Bayern München,,,2021-11-23T17:45:00Z
Group,F,5,Tue Nov 23 2021,18:50,CET/+0100,Villarreal CF,0-2,0-0,Manchester United FC,,,2021-11-23T17:50:00Z
Group,E,5,Tue Nov 23 2021,21:00,CET/+0100,FC Barcelona,0-0,0-0,Sport Lisboa e Benfica,,,2021-11-23T20:00:00Z
Group,F,5,Tue Nov 23 2021,21:00,CET/+0100,BSC Young Boys,3-3,1-1,Atalanta BC,,,2021-11-23T20:00:00Z
Group,G,5,Tue Nov 23 2021,21:00,CET/+0100,Lille OSC,1-0,1-0,FC Red Bull Salzburg,,,2021-11-23T20:00:00Z
Group,G,5,Tue Nov 23 2021,21:00,CET/+0100,Sevilla FC,2-0,1-0,VfL Wolfsburg,,,2021-11-23T20:00:00Z
Group,H,5,Tue Nov 23 2021,21:00,CET/+0100,Chelsea FC,4-0,1-0,Juventus FC,,,2021-11-23T20:00:00Z
Group,H,5,Tue Nov 23 2021,21:00,CET/+0100,Malmö FF,1-1,1-0,FK Zenit Sankt-Petersburg,,,2021-11-23T20:00:00Z
Group,C,5,Wed Nov 24 2021,18:45,CET/+0100,Beşiktaş JK,1-2,1-0,AFC Ajax,,,2021-11-24T17:45:00Z
Group,D,5,Wed Nov 24 2021,18:45,CET/+0100,FC Internazionale Milano,2-0,0-0,FK Shakhtar Donetsk,,,2021-11-24T17:45:00Z
Group,A,5,Wed Nov 24 2021,21:00,CET/+0100,Club Brugge KV,0-5,0-4,RB Leipzig,,,2021-11-24T20:00:00Z
Group,A,5,Wed Nov 24 2021,21:00,CET/+0100,Manchester City FC,2-1,0-0,Paris Saint-Germain FC,,,2021-11-24T20:00:00Z
Group,B,5,Wed Nov 24 2021,21:00,CET/+0100,Liverpool FC,2-0,0-0,FC Porto,,,2021-11-24T20:00:00Z
Group,B,5,Wed Nov 24 2021,21:00,CET/+0100,Club Atlético de Madrid,0-1,0-0,AC Milan,,,2021-11-24T20:00:00Z
Group,C,5,Wed Nov 24 2021,21:00,CET/+0100,Sporting Clube de Portugal,3-1,2-0,Borussia Dortmund,,,2021-11-24T20:00:00Z
Group,D,5,Wed Nov 24 2021,21:00,CET/+0100,FC Sheriff Tiraspol,0-3,0-2,Real Madrid CF,,,2021-11-24T20:00:00Z
Group,A,6,Tue Dec 7 2021,18:45,CET/+0100,RB Leipzig,2-1,1-0,Manchester City FC,,,2021-12-07T17:45:00Z
